,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"123","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,3089,223,32
"124","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,3121,0
"125","192.168.170.159,192.168.170.2",
"126","192.168.170.159,192.168.170.2",
"127",,,,,,,
"128",,,,,,,
"129","192.168.170.2,192.168.170.159",
"130","192.168.170.2,192.168.170.159",
"131","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,0,0
"132","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,0,1,0
"133","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1,1,0
"134","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1,1,236
"135","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1,237,0
"136","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1,237,1436
"137","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,237,1437,0
"138","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1437,237,2004
"139","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,237,3441,0
"140","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,237,3441,75
"141","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,312,3441,51
"142","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3441,312,0
"143","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3441,363,0
"144","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3441,363,51
"145","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,363,3492,228
"146","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3492,591,0
"147","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3492,591,420
"148","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3912,591,34
"149","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,591,3946,0
"150","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,3946,591,354
"151","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4300,591,98
"152","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,591,4398,0
"153","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4398,591,32
"154","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4430,591,40
"155","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,591,4470,0
"156","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,591,4470,436
"157","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4470,1027,0
"158","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4470,1027,368
"159","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4838,1027,32
"160","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,4870,0
"161","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4870,1027,39
"162","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,4909,1027,154
"163","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,5063,0
"164","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,3121,223,94
"165","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,3215,0
"166","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,5063,1027,1352
"167","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,4860,0
"168","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,3215,223,1645
"169","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,6415,0
"170","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,6415,1027,1399
"171","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,7814,0
"172","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,7814,1027,1399
"173","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,9213,0
"174","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,9213,1027,1399
"175","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,10612,0
"176","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,10612,1027,1436
"177","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,12048,0
"178","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,14846,0
"179","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,12048,1027,2798
"180","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,14846,1027,720
"181","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,15566,0
"182","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,4860,223,34
"183","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,4894,0
"184","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,4894,223,34
"185","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,4928,0
"186","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,4928,223,34
"187","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,4962,0
"188","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,4962,223,34
"189","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,4996,0
"190","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,4996,223,34
"191","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,5030,0
"192","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,5030,223,34
"193","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,5064,0
"194","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,5064,223,34
"195","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,5098,0
"196","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,15566,1027,1399
"197","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,16965,0
"198","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,16965,1027,1436
"199","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,18401,0
"200","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,18401,1027,1362
"201","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,19763,0
"202","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,19763,1027,1399
"203","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,21162,0
"204","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,21162,1027,1399
"205","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,22561,0
"206","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,22561,1027,2156
"207","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,24717,0
"208","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,24717,1027,1399
"209","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,26116,0
"210","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,26116,1027,2835
"211","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,28951,0
"212","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,28951,1027,1362
"213","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,30313,0
"214","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,30313,1027,1436
"215","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,31749,0
"216","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,31749,1027,2761
"217","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,34510,0
"218","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,37382,0
"219","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,34510,1027,2872
"220","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,37382,1027,2724
"221","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,40106,0
"222","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,40106,1027,1267
"223","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,41373,0
